"species","Id_species","beta_intercept","beta_temp","beta_prec","beta_sais_temp","beta_sais_prec","beta_pet","beta_cwd","beta_ndm","lambda_1","lambda_2"
"Hyphaene shatan",322,-46.1431897879198,36.7738602398119,-0.870476069224522,3.67010633704398,17.7188933475193,-34.8700357969146,-24.2781945545885,31.5648040913904,0.426329775455243,-3.06876474792878
"Comoranthus madagascariensis",323,-31.110970063741,20.4964681483206,-5.0086586937956,-13.889627935798,8.91685663150612,-5.33297644686041,-24.0617955765675,3.75190624059974,4.01634788895465,-6.25385007399395
"Operculicarya decaryi",324,-17.0529442425164,-1.8245472725533,3.29669211040116,-10.9235643562362,-1.33920562407278,3.17668143221462,-6.12017830229602,1.03388246505562,0.0191652179534104,0.0253594047033827
"Calliandra alternans",325,-4.71611081671451,2.98552866438143,2.34666690485332,0.00139964030368016,1.50800866428035,-3.98552756404586,0.0159115418829386,-1.08603244586399,-0.633507363133634,-0.238710111360546
"Erythrophysa aesculina",326,-22.6849865004971,38.1734667579532,2.80555252732181,5.72273402683157,1.41140040921319,-64.5875086173281,41.6274373656353,-16.9077085027885,3.65682623326286,-2.91233037906314
"Poupartia minor",327,-22.1546114408157,28.9435776834538,-4.97925323876608,-16.1991326228565,3.57857534792698,-43.6682591792008,38.2048029575554,-39.2657914790371,4.93549923258239,-2.59727673579694
"Berchemia discolor",328,-37.8647037910106,46.8030297170568,-5.59363336407324,-45.5813871636605,26.955782904939,-9.77583000117193,-60.7562529551067,-27.4921281953208,-0.685826381252129,4.74394111767081
"Bussea perrieri",329,-30.039368960181,46.1380615725014,2.34321316731098,-22.2264382887458,-1.8202924234005,-39.5462000784761,2.5699458542682,-19.7180962243525,-1.11567259656488,-4.0369411123363
"Diospyros lanceolata",330,-38.0422926051247,9.3786341925414,0.354026935555967,-43.8268807055452,4.88740759505143,8.80059805024036,-27.5578903753796,-16.1551207813249,2.13657444321854,-1.89522357462326
"Ehretia lambotaha",331,-33.8543448656394,30.7851255780508,2.92593960377024,-32.6254934547379,21.0923961383608,-25.1088538752291,-17.6723784433229,-36.1320579315882,3.65795060416828,2.48589671289523
"Acacia morondavensis",332,-29.5430148006591,3.35982713565635,16.9596045352876,7.72978718687467,17.765004403177,10.7416798023845,-32.9520881698673,18.2116621142968,2.22359206717791,-1.91743545518338
"Piptadenia chrysostachys",333,-47.6512534667988,11.1524296269903,32.3847703092475,0.823115597300036,28.4321631214706,4.13922016499218,-46.1343783763193,9.5660480001903,2.48944680238856,4.15262354306365
"Thilachium seyrigii",334,-55.7508034687047,113.709901316255,-7.77852190673804,-3.32152080487968,-9.28508855279989,-147.404937219208,77.34000314337,-38.3672493214388,-6.05643309768559,-1.86270261100678
"Brexiella ilicifolia",335,-31.5300037224888,11.3850878799825,14.4736932794028,34.0370970338731,13.3969814250578,-30.8332786152309,24.9179483744624,21.5142390213707,2.54972993423487,-1.10134833231876
"Heritiera littoralis",336,-57.5835579979406,31.1944776782771,34.0234991948357,15.8849874080247,21.0852337556249,-24.1355704522126,1.09107010498056,2.663072697038,1.86992108927445,5.56816276426812
"Operculicarya drayi",337,-44.1572480532169,29.0806201375206,22.5775410347325,32.6470471006867,21.8201327546543,-53.5139805689765,36.6644929791287,7.24761065862013,3.55454180185737,4.39702793227454
"Uncarina stellulifera",338,-35.8745879447528,24.0125139164453,-9.35399313308,-25.0349416756762,-5.9197504232299,-38.3147110184382,45.1029149539956,-43.130710679212,0.0665254581682241,0.700957586067462
"Bembicia axillaris",339,-34.2721592419869,53.7060210832676,-0.959891350928314,-7.33454063045539,-7.09148390572023,-67.7801576873087,58.1879258284755,-42.9075402612553,-1.62293625977813,-0.960141166491388
"Commiphora simplicifolia",340,-63.6431518925297,51.348338812449,3.57037009704197,-6.49530972584103,5.04783856044546,-128.647091801725,150.945803795401,-96.3917276901524,-3.5056171777449,0.311734347479627
"Christiana africana",341,-39.8990870488929,2.90041036142035,0.394471723052563,-20.0558045440696,-3.82537153448829,-17.4067935269566,47.2733226274714,-42.1539441299601,-2.38283342637059,-0.518852811818609
"Cerbera venenifera",342,-32.1453150453411,32.9821071738904,-4.45573263530322,-22.3855338522836,-2.42410527990011,-45.5864132823937,21.8899261310928,-25.400166141423,3.93681591841011,5.45431048860654
"Alluaudia dumosa",343,-22.4141203360605,24.558325188353,7.4800610749752,0.497452945828678,-0.472866675531419,-29.2193199466345,7.53638832344867,2.05927778344356,0.180069749394204,-0.78140380754588
"Alluaudia procera",344,-21.084070610402,-12.710601089232,-2.41019634086292,0.599760017546997,-3.0089236915311,14.0154975219182,-1.78405512728531,16.821895242236,-0.749220183902271,-0.834039301964827
"Grevea madagascariensis",345,-48.2924656917207,20.4817544601196,-6.8539145252554,-3.17306469869756,-20.1862879926671,-37.2631590614268,61.2936221792534,-29.3076076814002,1.96411312216147,-7.38792371257094
"Commiphora brevicalyx",346,-24.5567430297242,21.6874978577238,6.55694264489254,19.4206387934599,-0.696916435229565,-28.5202191548865,1.26256211611218,25.3745945341965,-4.73922188580634,-4.9469098327029
"Alluaudia humberti",347,-38.6390259094778,41.1115661041948,-5.61452316463653,4.37268648115771,-9.86764748031779,-73.688661787254,68.1591395673611,-27.7391932040728,-2.96199961427962,-3.67940151813161
"Jatropha mahafalensis",348,-36.9122850987632,71.4578396804495,9.47050518311053,34.8768691015327,9.30496058196063,-94.836634628248,42.0951706473518,8.98161904603308,8.63998819273927,7.68068372218913
"Aeschynomene sensitiva",349,-32.9232381674879,14.9459707676439,9.33065648709951,33.5637163217172,-1.36342169311531,-51.2270787333847,41.546380528737,19.9891287693247,2.6195877830833,2.74212735160146
"Helmiopsis hily",350,-29.6939436673462,33.26491039559,14.6502916626781,2.33366950495309,-1.94934386030652,-52.6757659608287,9.96924434004605,0.351748792652926,-3.38885522074671,-4.18578842043294
"Terminalia monoceros",351,-31.123851793358,59.3599343917254,10.0325562409042,14.8580468765146,-2.84455945180452,-60.4998093171314,7.676703779803,13.5541927604172,2.21101771117845,0.132172624119041
"Alluaudia ascendens",352,-31.941214601681,-7.18317474229779,7.53630824405959,19.3284058094747,-3.85263931756452,8.21687140097046,-17.9800590995177,38.6520151979308,4.05032037797687,-0.952751028197203
"Hildegardia erythrosiphon",353,-24.804681055319,12.8901903960799,6.09486918939063,0.0783280033860387,1.19194746638851,-5.4176000557209,-8.04923436286547,7.48636993153708,1.83512866521652,-2.80371060712383
"Operculicarya hyphaenoides",354,-42.7011801127784,24.1056933231729,25.1390632586851,17.0068360998514,13.5743724477359,2.87862955190022,-42.7873471958328,25.2748720926721,3.8546349138137,-5.81088031062056
"Euphorbia plagiantha",355,-58.9039640278452,-15.1748283019462,23.2230083905541,12.9872054268237,11.5145528052391,49.9193943366355,-69.1186317573227,41.9644480318731,3.79872580586373,-2.09738305653527
"Euphorbia stenoclada",356,-34.587124563507,15.3887156666239,1.97295709455469,-28.404191138628,9.63978301783777,1.47433594492587,-49.9660031181892,2.87679238810958,4.07213820733192,2.31069313363723
"Baudouinia louvelii",357,-23.2827347046812,-4.3129194974207,2.44574467526219,-0.665909875978809,2.89079719125499,8.22918694435376,-18.7213029289856,-4.26204998797767,-1.61544706095216,-0.0736906308342243
"Mangifera indica",358,-34.4581729847307,5.97591416818253,17.2809164180809,7.43115883834717,18.2376234215075,18.6663296029578,-34.4700523834515,4.34428692372543,-3.13041197731431,2.32827934848753
"Eugenia arenicola",359,-9.96388376263625,-7.49897898590345,5.89416187381543,-0.893971916764706,0.571786000019848,13.3679670910889,-10.9435747663279,-0.22438732564527,-1.82629580531337,0.487435255329465
"Garcinia chapelieri",360,-9.38602455661138,-1.07702577015446,2.1524248061469,-4.14360299053311,3.27221160657571,8.18712006203532,-13.1688586843251,-2.91523521771861,-1.1324816795211,0.635898278284421
"Holmskioldia microphylla",361,-44.4971378730329,28.1402905687444,24.1471926134531,8.69528205731878,2.21663275157206,-10.7507444013356,0.953104317539091,-7.35162984623332,-1.62909392357929,2.82337309550271
"Mascarenhasia macrosiphon",362,-40.1485124822363,48.6079599562916,16.4720406438732,2.21648380664694,16.6450434148998,-24.7301825559586,-15.9793377610497,-16.806133129749,-1.11877167044515,-2.61607055144284
"Dypsis hildebrandtii",363,-49.0520857275483,-67.0108404833814,24.8035127937334,33.1507047371303,-7.03396815073116,86.6566602551225,-3.02065385866599,14.6127265690185,3.41378206188743,3.44101179313348
"Capurodendron microphyllum",364,-16.0004507620911,-3.48795014327696,1.65178385418651,-0.529627686061045,-1.06019503710954,4.18352575042105,-8.33362454250104,-1.07897485744752,-4.27795408192414,0.959077955254621
"Sideroxylon gerrardianum",365,-47.0182631104089,64.8022271554719,16.027444144802,19.8044288230963,14.2040305608767,-45.4939499571056,-32.0135390013399,23.7039199937686,-2.85615595775501,2.1168136436252
"Rhopalocarpus macrorhamnifolius",366,-36.7265829175543,20.1572504798793,6.15090132132569,-29.9876409393342,1.70880738115503,-9.01146228770823,3.14316021537862,-41.330600307321,-1.86695942992421,4.90498890842449
"Rhodolaena bakeriana",367,-43.3545607382284,-0.53667518124384,19.0625295517732,-37.709071825777,1.5895545574915,30.9185841746513,-34.8948067434624,-32.2429198044078,4.31729991749757,1.58704246708383
"Polyscias pentamera",368,-35.9039124316357,59.0257584454743,11.0704001730698,-11.0060266883092,-4.79019961838847,-63.1842850258132,3.84250120230035,-15.7479911188926,-0.552504032123009,0.178350650452758
"Leptolaena pauciflora",369,-37.6924883142154,24.371963615276,10.981783743562,-12.8444849701207,3.50057565338959,-10.6147575789434,-18.0939859203767,-15.2746651108447,-7.22298018594853,-0.162641863979707
"Craspidospermum verticillatum",370,-28.6935984489476,-23.9160456474868,-3.84467992136772,-11.241898389552,-10.4414119124094,26.8710890840515,-1.95870400365234,-6.78023405145962,0.110317605428738,-10.7852749399338
"Homalium brevepedunculatum",371,-41.2781669261199,16.3579159582053,13.3125094557579,-10.6726253197869,-5.11537824905909,-24.8184464955726,36.159380199471,-39.0669683335652,-5.3975886593615,-1.79950720262324
"Manilkara suarezensis",372,-26.630046091315,4.02098372805008,-2.19957288686357,-15.0286172338805,-6.24696248207764,-17.0692921265539,11.7309921033682,-16.8169277315593,2.61839449658443,-1.95512501779214
"Allenanthus greveanus",373,-24.2317349427475,-0.302386569640195,-4.68440927441636,-21.0254521413463,15.1834256077375,19.09002298607,-53.112338683532,-7.63137615432202,0.48403102590411,-0.842817139494827
"Sarcolaena eriophora",374,-30.0109791577488,-12.4717749668586,6.9224371221511,-23.8895994794939,18.3116431529797,41.6356475996912,-59.9978200658663,-9.38994790183532,-1.13138203521001,3.75370955815236
"Tambourissa thouvenotii",375,-16.0068096336794,-1.20538187597257,1.69056169074041,-3.18424370725416,2.07284009751622,4.05297751563728,-19.6107037961661,0.609609977790009,-1.35894068973994,0.715780346068769
"Ficus marmorata",376,-24.5541109430995,-4.27594766575985,-5.32562137559742,-27.0574313455226,15.9962843564539,26.6607054968041,-44.5232536988922,-13.3647917672124,3.55323799513542,4.8971780082586
"Bauhinia hildebrandtii",377,-38.7661540886198,10.0442050294712,1.06439747408349,-36.8984632176459,-0.291559434157618,-21.1308571133423,29.2652881942507,-53.7461523629781,0.466733642567442,-0.847918750739789
"Cadaba virgata",378,-22.4210254294815,2.9650416272244,1.71026985678089,-3.65588592124031,-0.343356394124651,-1.29182648488136,-19.4647858331144,-0.465537600489791,-2.03827360236798,0.913018368655123
"Pyrostria madagascariensis",379,-33.244034989809,10.7550487482413,5.2395943985776,-16.4480260769165,11.7237636888664,21.0696379945221,-64.3023573849302,3.16607741861131,-2.95553088295763,-1.96533702756269
"Scolopia orientalis",380,-32.0002604635009,20.8611640993232,5.57570221629787,-30.2040486547329,8.04131188130917,-6.34749369138459,-41.6874388422382,-11.9630133973427,2.58264796129918,0.803938962355213
"Melicope fatraina",381,-19.4805547613947,8.73878000454625,1.65428955076176,-9.89763722659958,5.88829656017177,-9.12499217198908,-22.2820986995578,2.0287561816449,0.552729002891051,2.40419717390482
"Plagioscyphus stelechantus",382,-29.3682406650143,13.9289046553443,2.95201234771874,0.625302087580301,13.5663910493805,-25.6842509336476,-13.4968724052211,-8.66369987294247,-1.08183954254541,1.53466694286835
"Rhopalocarpus triplinervius",383,-28.7566334846428,12.6336509223441,6.43586619912685,-0.304751324480974,11.6424334200388,-27.1022278063968,-3.28747165143663,-7.54768084271982,-2.15571557490303,1.8223121088448
"Nuxia verticillata",384,-13.3680163170857,0.758261516075822,1.50966653669959,1.68744609900679,1.86175420448512,-4.28431877521467,-2.96665108381147,-2.26099847588854,-0.751530515123857,1.41789954583569
"Neodypsis tanalensis",385,-21.3987274546148,-8.1768564207211,6.78001572159579,11.8795154675083,2.41868248109069,-1.52885653842803,13.1512337682836,-3.11774570805742,-0.679844534960714,4.23128157373633
"Cryptocarya capuronii",386,-15.3423307317913,-8.88890630378337,5.21862533036412,6.72542318806806,10.1810981945439,10.3164401752194,-12.4147520669532,-0.231903460899158,-2.03524272650774,0.950529681616771
"Mammea bongo",387,-54.2698409982492,15.371907460623,28.0172253817873,34.4407114558046,29.4572305824446,-75.6126733558828,67.0860962256341,-16.782009608198,-1.346191694813,7.21212176831961
"Homalium oppositifolium",388,-43.8468971426377,-24.5059012330176,17.3484350532002,6.34925549346381,34.2167848980265,45.9896991394912,-57.9328677217872,-2.65705958517527,-2.30699653157286,3.67748703980699
"Symphonia louvelii",389,-11.1656481849975,6.41940984139688,4.74024627523582,4.75213841941301,2.32015499164677,-19.1616291576234,10.9476550353136,-2.37430151966894,-1.28127711760492,0.734696685716845
"Saldinia oblongifolia",390,-41.4734138803642,11.8545527253446,3.12933410234991,7.30104267175103,-3.42868836373369,-41.9226146360038,14.1048550044918,-5.94153709104792,1.04447791224164,4.47970465442693
"Crateva excelsa",391,-24.8665046684606,16.2005140273459,6.58181021517669,6.01832679515156,10.800400612441,-37.136440425751,25.3485630704764,-15.9036860651564,1.12234666367511,4.53023037049359
"Symphonia macrophylla",392,-31.9332491863295,3.8463257596789,2.75314671232643,6.09103072438705,5.69024363555719,-8.35984592308249,-19.9751223685047,9.37737472295913,-5.57292936752556,-1.90467286727026
"Hymenodictyon louvahato",393,-5.61153575841675,-1.11278376098363,1.46991654085013,2.12636395438856,1.92314688010557,-0.0392345646717903,-0.764825775178615,0.251484087253886,-0.95177061687307,0.901046606191245
"Symphonia microphylla",394,-33.3032900960418,9.54144457047754,5.46153162378243,2.08344239145784,-0.265641137048754,-16.3168262273478,-25.684398343409,4.86837322351394,-1.90955001823602,0.942969188813872
